id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
UC_m5uiq8A1QNrD0c1kzza7w,0,,false,,26803,472,4102045
UCW5VVcwhk6Sq42UeaCy7cQA,0,,false,,94346,294,9477894
,,,,,,,
UCTJ3UD_cjp1KIurdwYwQWBg,296,,false,,17907,177,4912843
UCSFgJdqssONphqJX-HXL-QA,0,,false,,22791,119,2324248
UCucjglevhbRTQyL0vp8lU8Q,0,,false,,46367,327,17901032
UCS256eE1OEpJHExyjEIpamA,0,,false,,83821,9555,61393230
,,,,,,,
UCI1fgeiI1fFyq4FNwSkzBHw,129,,false,,2178,122,1108742
UCAlKWectI6Uyt4SCpp2_Eww,0,,false,,54087,585,9938492
,,,,,,,
UCxzJqJEdGvT8xLVL1Im7VYw,60,,false,,213161,203,80741453
UCA1BLuNMUX4k5bQV_gm3qbA,9,,false,,23715,522,1256626
UCr88-rT0jd3TjwNthyiTH8g,3,,false,,1216,73,118075
UCvnMCUe_wv4JM4F4VM5ttJg,260,,false,,83564,145,7075240
UCObvXKU0HTYjegIxq6-UEbA,0,,false,,5574,174,923506
W2YRmLMnsCw,111,12,,1155,,,53520
zaBI3SNktFw,146,20,,2474,,,15321
nvJ4WTlDlGc,807,99,,1840,,,73959
UCsVr8ikyUh_PRQDzcEnULWw,0,,false,,8627,59,6151662
,,,,,,,
,,,,,,,
c4maMIqIHAI,9,1,,32,,,6062
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
v8tZIalIqm8,9,1,,28,,,1177
2B95cHJu4ac,22,0,,93,,,13428
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
hVb-yRQ_-08,50,4,,120,,,5644
,,,,,,,
,,,,,,,
,,,,,,,
WTQ_78w1LQA,8,7,,196,,,4791
mMo6the7cq0,58,11,,301,,,8980
eyMMAg4pDq0,1,1,,10,,,254
NYmR7zzesBg,32,9,,429,,,9033
DVgQlpXFDk8,4,0,,5,,,58
,,,,,,,
,,,,,,,
,,,,,,,
bQEWguKEOYs,8,12,,271,,,234924
UCJHLcAcn_1sqwfbBzFiCNpA,20,,false,,238178,200,63348693
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
UCYlotbU2aGECGyqOM8ozYDg,9,,false,,55205,540,9578068
UCkPw3sMGywFeQbawsZlCr_w,1,,false,,34969,248,167477522
UCJq90hHXIUpSCCK2prG20bA,115,,false,,198273,334,192760712
,,,,,,,
